Academic_Calendar,Academic_Counseling,Academic_Staff,Acronym,Address,Admission_Office,Admission_Rate,Campus_Setting,Career_Services,Control_Type,Distance_Learning,Entity_Type,Fax,Financial_Aids,Founded,Housing,Institutional_Hospital,International_students,Library,Local_students,Motto,Religious_Affiliation,Selection_Type,Sport_Facilities,Student_Enrollment,Study_Abroad,Tel,country_name,country_rank,facebook,flag_img,instagram,linkedin,name,name_t,name_t_t,other_locations,screenshort,subject,twitter,uni_logo,university_name,url,wiki,world_rank,youtube
Semesters,Not reported,"2,500-2,999",UMU,"Edificio Convalecencia, Avenida Teniente Flomesta, 5 Murcia  30003 Region of Murcia Spain","International Relations Office. Edificio Rector Soler, Campus de Espinardo Murcia 30071 868884074",60-70%,Urban,Not reported,Public,Not reported,Non-Profit,+34 868884130,Yes,1272,Yes,Not reported,,Yes,,Cien por cien universidad Come and join us,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"30,000-34,999",Yes,+34 868884074,"Spain

",14,https://www.facebook.com/universidadmurcia/,https://www.4icu.org//i/flags/Spain.png,https://www.instagram.com/umu/,https://www.linkedin.com/school/universidad-de-murcia/,University of Murcia,University of Murcia,University of Murcia,"Espinardo, San Javier, El Palmar, Lorca",https://www.4icu.org//i/screenshots/7393.jpg,Department of Fine Arts | Department of Biology | Department of Sports Studies | Department of Industrial Sciences | Department of Communication and Documentation Sciences | Department of Law | Department of Economics and Business | Department of Education | Department of Nursing | Department of Philosophy | Department of Computer Sciences | Department of Arts | Department of Mathematics | Department of Medicine | Department of Optics and Optometry | Department of Psychology | Department of Chemistry | Department of Social Work | Department of Veterinary Science | Campus of Lorca,https://twitter.com/UMU,https://www.4icu.org//i/logos-seals/7393.png,Universidad de Murcia,https://www.4icu.org/reviews/7393.htm,https://en.wikipedia.org/wiki/University_of_Murcia,389,https://www.youtube.com/channel/UCksyzyXsrrWGqpiZzrm0oGw
Quarters,Not reported,"2,500-2,999",UOV,"Edificio Histórico, C/ San Francisco, 3 Oviedo  33003 Asturias Spain","C/ Argüelles, 32 Oviedo 33003 985104083 985104091",80-90%,Urban,Not reported,Public,Not reported,Non-Profit,+34 985104085,Not reported,1604,Not reported,Not reported,,Yes,,Sigillum Regiae Universitatis Ovetensis,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"20,000-24,999",Yes,+34 985102901,"Spain

",35,https://www.facebook.com/UniversidadOviedo/,https://www.4icu.org//i/flags/Spain.png,https://www.instagram.com/universidad_de_oviedo/,https://www.linkedin.com/school/uniovi/,University of Oviedo,University of Oviedo,University of Oviedo,"Gijón, Mieres",https://www.4icu.org//i/screenshots/7394.jpg,Department of Law | Department of Chemistry | Department of Philology | Department of Geology | Department of Biology | Department of Geography and History | Department of Medicine | Department of Economics and Business | Department of Education Sciences | Department of Sciences | Department of Psychology | Department of Philosophy,https://twitter.com/uniovi_info,https://www.4icu.org//i/logos-seals/7394.png,Universidad de Oviedo,https://www.4icu.org/reviews/7394.htm,https://en.wikipedia.org/wiki/University_of_Oviedo,955,https://www.youtube.com/channel/UCAUO1h1-kBvrfi64BLr2VpQ
Continuous,Not reported,"4,500-4,999",US,"San Fernando, 4 Sevilla  41004 Andalucia Spain",Pabellón de. Brasil (Paseo de las Delicias s/n) Sevilla 41013 954481255,Not reported,Urban,Not reported,Public,Not reported,Non-Profit,+34 954556093,Not reported,1505,Not reported,Yes,,Yes,,,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"over-45,000",Yes,+34 954551445,"Spain

",11,https://www.facebook.com/UniversidaddeSevillaoficial/,https://www.4icu.org//i/flags/Spain.png,https://www.instagram.com/unisevilla/,https://www.linkedin.com/school/universidad-de-sevilla/,University of Seville,University of Seville,University of Seville,,https://www.4icu.org//i/screenshots/7400.jpg,"Polytechnic School | School of Architecture | School of Engineering | School of Agricultural Engineering | School of Civil Engineering | School of Computer Engineering | Department of Fine Arts | Department of Biology | Department of Science Education | Department of Science of Work | Department of Economics and Business | Department of Communication | Department of Law | Department of Nursing, Physiotherapy and Podiatry | Department of Pharmacy | Department of Philology | Department of Philosophy | Department of Physics | Faculty Geography and History | Department of Mathematics | Department of Medicine | Department of Dentistry | Department of Psychology | Department of Chemistry | Department of Tourism and Finance",https://twitter.com/unisevilla,https://www.4icu.org//i/logos-seals/7400.png,Universidad de Sevilla,https://www.4icu.org/reviews/7400.htm,https://en.wikipedia.org/wiki/University_of_Seville,304,https://www.youtube.com/channel/UCej70Xgoc-QM0X2H6yzYCSQ
Continuous,Yes,"1,500-1,999",UVigo,"Edificio Filomena Dato, Oficina 46, Campus Universitario Vigo Vigo  36310 Galicia Spain","Facultade de Dereito, 3º piso. Campus Universitario Sur Santiago de Compostela 15782 881 813 452",70-80%,Suburban,Yes,Public,Yes,Non-Profit,+34 986 812 010,Yes,1989,Yes,Not reported,,Yes,,"Innovadora, pública, de calidade",None,"Yes, based on entrance examinations",Yes,"20,000-24,999",Yes,+34 986 812 000,"Spain

",23,https://www.facebook.com/uvigo/,https://www.4icu.org//i/flags/Spain.png,https://www.instagram.com/universidadedevigo/,https://www.linkedin.com/school/university-of-vigo/,University of Vigo,University of Vigo,University of Vigo,"Pontevedra, Ourense",https://www.4icu.org//i/screenshots/7403.jpg,Department of Philology and Translation | Department of History | Department of Fine Arts | Department of Physiotherapy | Department of Biology | Department of Marine Sciences | Department of Chemistry | Department of Science | Engineering School of Telecommunications | Industrial Engineering School | Engineering School of Mining and Energy | Computer Engineering School | Engineering School of Forestry | Engineering School of Aeronautics and Space | University School of Business Studies | Department of Economic and Business Sciences | Department of Legal and Labour Sciences | Department of Law | Department of Education Sciences | Department of Social Sciences and Communications | Department of Business Sciencies and Tourism | Department of Education Sciences and Sports | University School of Nursing | University Centre of the Defence Forces | University School of Primary Education | Intercontinental Higher Education Business Institute,https://twitter.com/uvigo,https://www.4icu.org//i/logos-seals/7403.png,Universidade de Vigo,https://www.4icu.org/reviews/7403.htm,https://en.wikipedia.org/wiki/University_of_Vigo,645,https://www.youtube.com/channel/UCSnfU-IXXka_ySR6kbZEK-w
Semesters,Not reported,"3,500-3,999",UV,Avenida Blanco Ibáñez 13 Valencia  46010 Valencian Community Spain,"Avenida Blanco Ibáñez 13, Nivel 0 Valencia 46010 963864100",50-60%,Urban,Not reported,Public,Yes,Non-Profit,+34 963864885,Yes,1499,Yes,Not reported,,Yes,,,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"over-45,000",Yes,+34 963864101,"Spain

",3,https://www.facebook.com/universitatdevalencia/,https://www.4icu.org//i/flags/Spain.png,https://www.instagram.com/universitatvalencia/,https://www.linkedin.com/school/university-of-valencia/,University of Valencia,University of Valencia,University of Valencia,Burjasot-Paterna,https://www.4icu.org//i/screenshots/7401.jpg,"Department of Biological Sciences | Department of Chemistry | Department of Economics | Department of Geography and History | Department of Law | Department of Mathematics | Department of Medicine and Odontology | Department of Philology, Translation and Communication | Department of Pharmacy | Department of Philosophy and Educational Sciences | Department of Physical Activity and Sport Sciences | Department of Psychology | Department of Physics | Department of Social Sciences | Engineering Technical School | Department of Physiotherapy | Department of Nursing and Chiropody | Department of Teaching",https://twitter.com/UV_EG,https://www.4icu.org//i/logos-seals/7401.png,Universidad de Valencia,https://www.4icu.org/reviews/7401.htm,https://en.wikipedia.org/wiki/University_of_Valencia,203,https://www.youtube.com/channel/UClRsOk1kAmc4gsVTr_K8ccg
Continuous,Yes,600-699,UNAV,Campus Universitario s/n Pamplona  31009 Navarra Spain,"Campus Universitario, Ed Central Pamplona 31080 948425600",40-50%,Urban,Yes,Private,Yes,Non-Profit,+34 948425619,Yes,1952,Yes,Yes,,Yes,,,Christian-Catholic,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"8,000-8,999",Yes,+34 948 42 56 00,"Spain

",18,https://www.facebook.com/unav/,https://www.4icu.org//i/flags/Spain.png,https://www.instagram.com/universidaddenavarra/,https://www.linkedin.com/school/universidad-de-navarra-cp/,University of Navarra,University of Navarra,University of Navarra,"San Sebastian, Madrid, Barcelona",https://www.4icu.org//i/screenshots/7406.jpg,School of Architecture | School of Sciences | School of Communication | School of Law | School of Canon Law | School of Ecclesiastical of Philosophy | School of Economics | School of Education and Psychology | School of Nursing | School of Pharmacy and Nutrition | School of Humanities and Social Sciences | ISSA School of Management Assistants | School of Medicine | School of Theology,https://twitter.com/unav,https://www.4icu.org//i/logos-seals/7406.png,Universidad de Navarra,https://www.4icu.org/reviews/7406.htm,https://en.wikipedia.org/wiki/University_of_Navarra,494,https://www.youtube.com/channel/UCLv60idxAQWbKd9fzJ-ngYw
Continuous,Yes,600-699,UFV,"Carretera Pozuelo-Majadahonda, Km. 1,800 Madrid  28223 Community of Madrid Spain","Ctra. Pozuelo-Majadahonda, km.1,800 Pozuelo de Alarcón 28223 917091400",Not reported,Suburban,Yes,Private,Not reported,Non-Profit,+34 917091555,Yes,1992,Yes,Not reported,,Yes,,Vince in Bono Malum Defeat Evil with Good,Christian-Catholic,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"7,000-7,999",Yes,+34 913510303,"Spain

",64,https://www.facebook.com/UFVmadrid/,https://www.4icu.org//i/flags/Spain.png,https://www.instagram.com/ufvmadrid/,https://www.linkedin.com/school/universidad-francisco-de-vitoria-/,Francisco de Vitoria University,Francisco de Vitoria University,Francisco de Vitoria University,Pozuelo de Alarcón,https://www.4icu.org//i/screenshots/7412.jpg,"Department of Communication, Media and Design | Department of Education | Department of Social, Economic and Juridical Sciences | Department of Experimental Sciences | Department of Medicine | Department of Health Sciences | Polytechnic School",https://twitter.com/ufvmadrid,https://www.4icu.org//i/logos-seals/7412.png,Universidad Francisco de Vitoria,https://www.4icu.org/reviews/7412.htm,https://en.wikipedia.org/wiki/Universidad_Francisco_de_Vitoria,2673,https://www.youtube.com/channel/UCGZzcQpj9ixgLV9M4f8ZYnw
Semesters,Not reported,200-299,USJ,"Campus Universidad San Jorge, Autovía Zaragoza-Huesca km. 512, Villanueva de Gállego Zaragoza  50830 Aragon Spain","Campus Universidad San Jorge, Autovía Zaragoza-Huesca km. 512, Villanueva de Gállego Zaragoza 50830 976060100",Not available,Suburban,Yes,Private,Not reported,Non-Profit,+34 976398266,Yes,2005,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"9,000-9,999",Yes,+34 976060100,"Spain

",67,https://www.facebook.com/universidadsanjorge.zaragoza/,https://www.4icu.org//i/flags/Spain.png,https://www.instagram.com/universidadsanjorge/,https://www.linkedin.com/school/usj/,San Jorge University,San Jorge University,San Jorge University,"Huesca, A Coruña",https://www.4icu.org//i/screenshots/7416.jpg,Department of Communication and Social Sciences | Department of Health Sciences | School of Architecture and Technology,https://twitter.com/_usj_,https://www.4icu.org//i/logos-seals/7416.png,Universidad San Jorge,https://www.4icu.org/reviews/7416.htm,https://es.wikipedia.org/wiki/Universidad_San_Jorge,3406,https://www.youtube.com/channel/UCIhz1gzw_P5OFFq--nv47-Q
Semesters,Yes,300-399,UVic-UCC,"Campus de Miramarges, Carrer de La Sagrada Familia, 7 Vic  08500 Catalonia Spain","Carrer de La Sagrada Familia, 7 Vic 08500 938 861 222",80-90%,Urban,Yes,Public Private Partnership,Yes,Non-Profit,+34 938891063,Yes,1997 Origins date back to 1599,Yes,Not reported,,Yes,,Scientiae patriaeque impendere vitam Life science devoted to homeland,None,"Yes, based on entrance examinations",Yes,"5,000-5,999",Yes,+34 938861855,"Spain

",56,https://www.facebook.com/UniversitatdeVic/,https://www.4icu.org//i/flags/Spain.png,https://www.instagram.com/uvic_ucc/,https://www.linkedin.com/school/universitat-de-vic/,University of Vic - Central University of Catalonia,University of Vic - Central University of Catalonia,University of Vic - Central University of Catalonia,"Manresa, Granollers",https://www.4icu.org//i/screenshots/7418.jpg,"Doctoral College | Department of Medicine | Department of Business and Communication Studies | Department of Education, Translation and Humanities | Department of Health Sciences and Welfare | Department of Science and Technology | Bau, Design College | EADA School of Management and Administration | ESERP The Barcelona School of Business and Social Science | University Institute of Science and Technology",https://twitter.com/uvic_ucc,https://www.4icu.org//i/logos-seals/7418.png,Universidad de Vich - Universidad Central de Cataluña,https://www.4icu.org/reviews/7418.htm,https://en.wikipedia.org/wiki/University_of_Vic_-_Central_University_of_Catalonia,2102,https://www.youtube.com/channel/UCFr0G1s0I6_Pv31fbDPAweg
Semesters,Not reported,100-199,Burg Halle,Neuwerk 7 Halle  06108 Saxony-Anhalt Germany,PO Box 200 252 Halle 06003 (345) 775 1536,10-20%,Urban,Not reported,Public,Not reported,Non-Profit,+49 (345) 775 1569,Not reported,1915,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,500-999,Yes,+49 (345) 775 150,"Germany

",151,https://www.facebook.com/burghalle/,https://www.4icu.org//i/flags/Germany.png,https://www.instagram.com/burg_halle/,https://www.linkedin.com/company/hochschule-f-r-kunst-und-design-burg-giebichenstein-halle/,Burg Giebichenstein University of Art and Design Halle,Burg Giebichenstein University of Art and Design Halle,Burg Giebichenstein University of Art and Design Halle,,https://www.4icu.org//i/screenshots/7429.jpg,Department of Design | Department of Fine Arts,https://twitter.com/burghalle,https://www.4icu.org//i/logos-seals/7429.png,Burg Giebichenstein Kunsthochschule Halle,https://www.4icu.org/reviews/7429.htm,https://de.wikipedia.org/wiki/Burg_Giebichenstein_Hochschule_f%C3%BCr_Kunst_und_Design_Halle,3009,https://vimeo.com/user20151130
Other,Not reported,100-199,HSBA,Alter Wall 38 Hamburg  20457 Hamburg Germany,HSBA Hamburg School of Business Administration Hamburg 20457 (40) 36138 711,Not available,Urban,Not reported,Private,Not reported,Non-Profit,+49 (40) 36138 751,Not reported,2004,Not reported,Not reported,,Yes,,"Leistung, Verantwortung, Fairness Performance, Responsibility, Fairness",None,"Yes, based on entrance examinations and students' past academic record and grades",Not reported,500-999,Not reported,+49 (40) 36138 711,"Germany

",290,https://www.facebook.com/hsba.hamburg/,https://www.4icu.org//i/flags/Germany.png,https://www.instagram.com/hsba.hamburg/,https://www.linkedin.com/school/hsba-hamburg-school-of-business-administration/,Hamburg School of Business Administration,Hamburg School of Business Administration,Hamburg School of Business Administration,,https://www.4icu.org//i/screenshots/7486.jpg,School of Business,https://twitter.com/HSBA_,https://www.4icu.org//i/logos-seals/7486.png,Hamburg School of Business Administration,https://www.4icu.org/reviews/7486.htm,https://en.wikipedia.org/wiki/HSBA_Hamburg_School_of_Business_Administration,6003,https://www.youtube.com/channel/UCrVALw4RIxhkECWxJmglhYg
Semesters,Not reported,800-899,HKA,Moltkestrasse 30 Karlsruhe  76133 Baden-Wurttemberg Germany,Hochschule Karlsruhe - Technik und Wirtschaft Karlsruhe 76133 (721) 925 1075,10-20%,Urban,Yes,Public,Not reported,Non-Profit,+49 (721) 925 2000,Not reported,1878,Not reported,Not reported,,Yes,,,None,"Yes, based on students' past academic record and grades",Yes,"7,000-7,999",Yes,+49 (721) 9250,"Germany

",103,https://www.facebook.com/HsKA.Schueler/,https://www.4icu.org//i/flags/Germany.png,https://www.instagram.com/hochschule_karlsruhe/,https://www.linkedin.com/school/hochschule-karlsruhe---technik-und-wirtschaft/,Karlsruhe University of Applied Sciences,Karlsruhe University of Applied Sciences,Karlsruhe University of Applied Sciences,,https://www.4icu.org//i/screenshots/7488.jpg,Department of Architecture and Civil Engineering | Department of Computer Science and Business Information Systems | Department of Electrical Engineering and Information Technology | Department of Information Management and Media | Department of Management Science and Engineering | Department of Mechanical Engineering and Mechatronics,https://twitter.com/hskanews,https://www.4icu.org//i/logos-seals/7488.png,Hochschule Karlsruhe,https://www.4icu.org/reviews/7488.htm,https://en.wikipedia.org/wiki/Karlsruhe_University_of_Applied_Sciences,1987,https://www.youtube.com/channel/UCvAgIbgiTX0iXUg02biu7Fw
Semesters,Not reported,50-99,KIU,Karlstrasse 36-38 Karlsruhe  76133 Baden-Wurttemberg Germany,Karlstrasse 36-38 Karlsruhe 76133 (721) 130 3500,Not reported,Urban,Not reported,Private,Not reported,Not reported,+49 (721) 130 3300,Yes,2004,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,500-999,Yes,+49 (721) 130 3500,"Germany

",245,https://www.facebook.com/karlshochschule/,https://www.4icu.org//i/flags/Germany.png,https://www.instagram.com/karlshochschule/,https://www.linkedin.com/school/karlshochschule-international-university/,Karlshochschule International University,Karlshochschule International University,Karlshochschule International University,,https://www.4icu.org//i/screenshots/7505.jpg,Faculty I | Faculty II,https://twitter.com/karlshochschule,https://www.4icu.org//i/logos-seals/7505.png,Karlshochschule International University,https://www.4icu.org/reviews/7505.htm,https://en.wikipedia.org/wiki/Karlshochschule_International_University,4812,https://www.youtube.com/channel/UCx_ppaEWOuCwfxT2VBlzXEg
Semesters,Yes,100-199,BNU,"Tarogil Campus 13 Km Off Thokar Niazbeg - Raiwind Road, Tarogil Lahore  54400 Punjab Pakistan","Beaconhouse National University, Tarogil Campus 13 Km Off Thokar Niazbeg - Raiwind Road Lahore 54400 (42) 38100156",Not available,Urban,Yes,Private,Not reported,Non-Profit,+92 (42) 576 0254,Yes,2005,Yes,Not reported,,Yes,,Pakistan's first Liberal Arts University,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"1,000-1,999",Yes,+92 (42) 3810 0156,"Pakistan

",107,https://www.facebook.com/BeaconhouseNationalUniversity/,https://www.4icu.org//i/flags/Pakistan.png,https://www.instagram.com/bnulahore/,https://www.linkedin.com/school/beaconhouse-national-university/,بیکن ہاوس نیشنل یونیورسٹی,بیکن ہاوس نیشنل یونیورسٹی,بیکن ہاوس نیشنل یونیورسٹی,,https://www.4icu.org//i/screenshots/7568.jpg,School of Visual Arts and Design | School of Architecture | School of Media and Communication | School of Liberal Arts and Social Sciences | School of Computer and IT | School of Education | Institute of Psychology,https://twitter.com/BNULahore,https://www.4icu.org//i/logos-seals/7568.png,Beaconhouse National University,https://www.4icu.org/reviews/7568.htm,https://en.wikipedia.org/wiki/Beaconhouse_National_University,9581,https://www.youtube.com/channel/UCj15hb7rfwpXg50l7jwNT3A
Semesters,Yes,500-599,FUI,"Defense Avenue, Phase-I, DHA Islamabad  44000 Islamabad CT Pakistan","Foundation University Islamabad, Defence Avenue, Phase-I, DHA Islamabad 44000 (051) 111 384 111 (051) 5788 446",Not available,Urban,Yes,Private,Not reported,Non-Profit,+92 (51) 578 9511,Yes,2002,Not reported,Not reported,,Yes,,"Learn, Lead, Excel",None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"5,000-5,999",Yes,+92 (51) 578 8446,"Pakistan

",88,https://www.facebook.com/206737222716382/,https://www.4icu.org//i/flags/Pakistan.png,https://www.instagram.com/foundationuniversityislamabad/,https://www.linkedin.com/company/foundation-university-islamabad/,فاؤنڈیشن یونیورسٹی، اسلام آباد,فاؤنڈیشن یونیورسٹی، اسلام آباد,فاؤنڈیشن یونیورسٹی، اسلام آباد,Rawalpindi,https://www.4icu.org//i/screenshots/7572.jpg,Department of Management Sciences | Department of Engineering and IT | Department of Arts and Social Sciences | Foundation University Medical College | Foundation University Institute of Rehabilitation Sciences | Foundation University College of Dentistry | Foundation University College of Nursing,https://twitter.com/fuislamabad,https://www.4icu.org//i/logos-seals/7572.png,Foundation University Islamabad,https://www.4icu.org/reviews/7572.htm,"https://en.wikipedia.org/wiki/Foundation_University,_Islamabad",9065,https://www.youtube.com/channel/UCLcYcBky6JDhfhaliFX-tag
Semesters,Yes,800-899,DIU,"102, Shukrabad, Mirpur Road, Dhanmondi Dhaka  1207 Dhaka Bangladesh","DIU Admission Office, Daffodil Tower, 4/2, Sobhanbag, Mirpur Road, Dhanmondi Dhaka 1207 (2) 912 8705 (2) 913 2634",70-80%,Urban,Yes,Private,Not reported,Non-Profit,+880 (2) 913 1947,Yes,2002,Yes,Not reported,,Yes,,A Landmark to Create the Future,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"10,000-14,999",Yes,+880 (2) 913 8234-5,"Bangladesh

",6,https://www.facebook.com/daffodilvarsity.edu.bd/,https://www.4icu.org//i/flags/Bangladesh.png,https://www.instagram.com/daffodil.university/,https://www.linkedin.com/school/daffodil-international-university/,ডেফোডিল ইন্টারন্যাশনাল ইউনিভার্সিটি,ডেফোডিল ইন্টারন্যাশনাল ইউনিভার্সিটি,ডেফোডিল ইন্টারন্যাশনাল ইউনিভার্সিটি,,https://www.4icu.org//i/screenshots/7594.jpg,Department of Science and Information Technology | Department of Engineering | Department of Business and Entrepreneurship | Department of Allied Health Science | Department of Humanities and Social Science,https://twitter.com/daffodilvarsity,https://www.4icu.org//i/logos-seals/7594.png,Daffodil International University,https://www.4icu.org/reviews/7594.htm,https://en.wikipedia.org/wiki/Daffodil_International_University,3737,https://www.youtube.com/channel/UC9PzvD1qa4IPN4sBZ_gMeQQ
Semesters,Yes,400-499,GUB,220/D Begum Rokeya Sarani Dhaka  1207 Dhaka Bangladesh,220/D Begum Rokeya Sarani West Kafrul 1207 (2) 901 4725,60-70%,Urban,Yes,Private,Not reported,Non-Profit,+880,Yes,2003,Yes,Not reported,,Yes,,A Global Higher Education Center of Excellence,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"5,000-5,999",Yes,+880 (2) 901 4725,"Bangladesh

",29,https://www.facebook.com/greenuniversitybd/,https://www.4icu.org//i/flags/Bangladesh.png,https://www.instagram.com/greenuniversitybd/,https://www.linkedin.com/school/greenuniversity/,গ্রিন ইউনিভার্সিটি অফ বাংলাদেশ,গ্রিন ইউনিভার্সিটি অফ বাংলাদেশ,গ্রিন ইউনিভার্সিটি অফ বাংলাদেশ,Mirpur,https://www.4icu.org//i/screenshots/7598.jpg,Department of Science and Engineering | Department of Arts and Social Sciences | Department of Law | Department of Business Studies,https://twitter.com/GreenVarsity,https://www.4icu.org//i/logos-seals/7598.png,Green University of Bangladesh,https://www.4icu.org/reviews/7598.htm,https://en.wikipedia.org/wiki/Green_University_of_Bangladesh,8361,https://www.youtube.com/channel/UCqkKlbRhEOpvEk675h8HoEw
Semesters,Not reported,50-99,RUD,"House- 2, Road-10, Block- E, Banani Dhaka  1213 Dhaka Bangladesh","House No# 2, Road No#10, Block # E, Banani Dhaka 1213 (2) 984 1628",Not reported,Urban,Not reported,Private,Yes,Non-Profit,+880 (2) 988 6150,Yes,2003,Yes,Not reported,,Yes,,New Horizon in Academic Excellence,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,500-999,Yes,+880 (2) 984 1628,"Bangladesh

",71,https://www.facebook.com/royal.edu.bd/,https://www.4icu.org//i/flags/Bangladesh.png,https://www.instagram.com/royal.edu.bd/,https://www.linkedin.com/school/rud/,রয়াল বিশ্ববিদ্যালয়,রয়াল বিশ্ববিদ্যালয়,রয়াল বিশ্ববিদ্যালয়,"Bashgari, Bhairab, Kishargang",https://www.4icu.org//i/screenshots/7616.jpg,Department of Arts and Social Science | Department of Business Administration | Department of Science and Engineering,https://twitter.com/royaludhaka,https://www.4icu.org//i/logos-seals/7616.png,Royal University of Dhaka,https://www.4icu.org/reviews/7616.htm,https://en.wikipedia.org/wiki/Royal_University_of_Dhaka,10572,https://www.youtube.com/channel/UCe-xM1w9jhotOFqlUAzI0-Q
Trimesters,Yes,300-399,SU,"744, Satmosjid Road, Dhanmondi Dhaka  1209 Dhaka Bangladesh","44, Satmasdjid Road, Dhanmondi, Dhaka-1029 Dhaka 1209 (2) 9135 398, (2) 5815 1469 01765781188",90-100%,Urban,Yes,Private,Not reported,Non-Profit,+880 (2) 914 3531,Yes,2002 Origins date back to 1994,Not reported,Not reported,,Yes,,We Bring out the Best in You,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"over-45,000",Yes,+880 (2) 913 5398,"Bangladesh

",52,https://www.facebook.com/stamfordedubd/,https://www.4icu.org//i/flags/Bangladesh.png,https://www.instagram.com/stamforduniversitybd/,https://www.linkedin.com/school/stamfordedubd/,স্ট্যামফোর্ড ইউনিভার্সিটি,স্ট্যামফোর্ড ইউনিভার্সিটি,স্ট্যামফোর্ড ইউনিভার্সিটি,,https://www.4icu.org//i/screenshots/7620.jpg,Department of Business Studies | Department of Law | Department of Science | Department of Social Science | Department of Engineering,https://twitter.com/stamfordedubd,https://www.4icu.org//i/logos-seals/7620.png,Stamford University Bangladesh,https://www.4icu.org/reviews/7620.htm,https://en.wikipedia.org/wiki/Stamford_University_Bangladesh,9924,https://www.youtube.com/channel/UC8l-wU6TDwLR1dcOFKW2cdw
Trimesters,Yes,100-199,ULAB,"House 56, Road 4/A (Satmasjid Road), Dhanmondi Dhaka  1209 Dhaka Bangladesh","House 56, Road 4/A (Satmasjid Road), Dhanmondi Dhaka 1209 (2) 966 5686 (2) 966 1255",50-60%,Urban,Yes,Private,Not reported,Non-Profit,+880 (2) 966 0610,Yes,2004,Yes,Not reported,,Yes,,"Your university, your future",None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"4,000-4,999",Yes,+880 (2) 966 5686,"Bangladesh

",24,https://www.facebook.com/ULABian/,https://www.4icu.org//i/flags/Bangladesh.png,https://www.instagram.com/ulab_tomorrow/,https://www.linkedin.com/school/university-of-liberal-arts-bangladesh/,ইউনির্ভাসিটি অব লিবারেল আর্টস বাংলাদেশ,ইউনির্ভাসিটি অব লিবারেল আর্টস বাংলাদেশ,ইউনির্ভাসিটি অব লিবারেল আর্টস বাংলাদেশ,,https://www.4icu.org//i/screenshots/7626.jpg,School of Arts and Humanities | School of Business | School of Science and Engineering | School of Social Science,https://twitter.com/ULABian,https://www.4icu.org//i/logos-seals/7626.png,University of Liberal Arts Bangladesh,https://www.4icu.org/reviews/7626.htm,https://en.wikipedia.org/wiki/University_of_Liberal_Arts_Bangladesh,8076,https://www.youtube.com/channel/UCKnGSvVpBJqXXML114jxyLw
Semesters,Not reported,"1,000-1,499",Uhasselt,Martelarenlaan 4 Hasselt  3500 Limburg Belgium,Hasselt University - Agoralaan Building D Diepenbeek 3590 (11) 268 100,Not available,Suburban,Not reported,Public,Not reported,Non-Profit,+32 (11) 268 199,Not reported,1973 Founded under the name the Limburg University Centre. It was renamed in 2005.,Not reported,Not reported,,Yes,,Universiteit van de toekomst University of the future,None,"None, open admission policy",Yes,"2,000-2,999",Yes,+32 (11) 268 111,"Belgium

",9,https://www.facebook.com/uhasselt/,https://www.4icu.org//i/flags/Belgium.png,https://www.instagram.com/universiteithasselt/,https://www.linkedin.com/school/universiteit-hasselt/,Hasselt University,Hasselt University,Hasselt University,Diepenbeek,https://www.4icu.org//i/screenshots/7633.jpg,Department of Sciences | Department of Applied Economics | Department of Medicine | Department of Transportation Sciences,https://twitter.com/uhasselt,https://www.4icu.org//i/logos-seals/7633.png,Universiteit Hasselt,https://www.4icu.org/reviews/7633.htm,https://en.wikipedia.org/wiki/University_of_Hasselt,1715,https://www.youtube.com/channel/UC6Ls3AqyjXLcsbBraLAh8Tg
