Academic_Calendar,Academic_Counseling,Academic_Staff,Acronym,Address,Admission_Office,Admission_Rate,Campus_Setting,Career_Services,Control_Type,Distance_Learning,Entity_Type,Fax,Financial_Aids,Founded,Housing,Institutional_Hospital,International_students,Library,Local_students,Motto,Religious_Affiliation,Selection_Type,Sport_Facilities,Student_Enrollment,Study_Abroad,Tel,country_name,country_rank,flag_img,name,name_t,name_t_t,other_locations,screenshort,subject,uni_logo,university_name,url,wiki,world_rank
Continuous,Yes,"2,000-2,499",UNIOESTE,Rua Universitária 1619 - Jardim Universitário Cascavel  85819-110 Parana Brazil,Provost of undergraduation studies Cascavel 85819-110 (45) 3220 3100,20-30%,Urban,Not reported,Public,Yes,Non-Profit,+55 (45) 3324 4590,Not reported,1994,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,"10,000-14,999",Yes,+55 (45) 3220 5682,"Brazil

",70,https://www.4icu.org//i/flags/Brazil.png,Western Paraná State University,Western Paraná State University,Western Paraná State University,"Cascavel, Foz do Iguaçu, Francisco Beltrão, Marechal Cândido Rondon, Toledo",https://www.4icu.org//i/screenshots/364.jpg,"Center for Biological and Health Sciences | Center for Medical and Pharmaceutical Sciences | Center for Education, Communication and Arts | Center of Exact and Technological Sciences | Center for Social and Applied Sciences | Education and Literature Center | Center for Engineering and Exact Sciences | Center for Social and Applied Sciences | Center of Human Sciences | Center for Social and Applied Sciences | Center of Agrarian Sciences | Center for Human Sciences, Education and Literature | Center for Social and Applied Sciences | Center for Human and Social Sciences | Center for Engineering and Exact Sciences | Center for Social and Applied Sciences | University Hospital of the West of Paraná",https://www.4icu.org//i/logos-seals/364.png,Universidade Estadual do Oeste do Paraná,https://www.4icu.org/reviews/364.htm,https://en.wikipedia.org/wiki/State_University_of_Western_Paran%C3%A1,2528
Semesters,Not reported,900-999,UFRRJ,Rodovia BR 465 - KM 7 - s/n - Campus Universitário Seropédica  23890-000 Rio de Janeiro Brazil,"Rodovia BR 465 Km 7 Seropedica- RJ, Brazil 23890-000 (21) 2682 1080",20-30%,Rural,Not reported,Public,Yes,Non-Profit,+55 (21) 2682 1120,Not reported,1910,Yes,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,"15,000-19,999",Yes,+55 (21) 2682 1090,"Brazil

",31,https://www.4icu.org//i/flags/Brazil.png,Federal Rural University of Rio de Janeiro,Federal Rural University of Rio de Janeiro,Federal Rural University of Rio de Janeiro,,https://www.4icu.org//i/screenshots/370.jpg,Institute of Agronomy | Institute of Biology | Institute of Exact Sciences | Institute of Human and Social Sciences | Institute of Education | Forestry Institute | Institute of Technology | Institute of Veterinary Medicine | Institute of Animal Science | Multidisciplinary Institute | Institute of Três Rios,https://www.4icu.org//i/logos-seals/370.png,Universidade Federal Rural do Rio de Janeiro,https://www.4icu.org/reviews/370.htm,https://en.wikipedia.org/wiki/Federal_Rural_University_of_Rio_de_Janeiro,1117
Semesters,Not reported,"2,500-2,999",UFPB,Cidade Universitária s/n - Campus I - Castelo Branco João Pessoa  58051-900 Paraiba Brazil,Cidade Universitária - Campus I João Pessoa 58059-900 (83) 3216 7150,Not reported,Urban,Not reported,Public,Yes,Non-Profit,+55 (83) 3225 1901,Not reported,1955,Not reported,Not reported,,Yes,,Sapientia Aedificat Wisdom Builds,None,"Yes, based on entrance examinations",Yes,"25,000-29,999",Yes,+55 (83) 3216 7150,"Brazil

",26,https://www.4icu.org//i/flags/Brazil.png,Federal University of Paraíba,Federal University of Paraíba,Federal University of Paraíba,,https://www.4icu.org//i/screenshots/372.jpg,"Centre for Human Sciences, Letters, and Arts | Centre for Applied Social Sciences | Centre for Education | Centre for Health Sciences | Centre for Medical Sciences | Centre for Law Studies | Centre for Natural and Exact Sciences | Center for Technology and Regional Development | Centre for Agrarian Science | Centre for Human, Social, and Agrarian Sciences | Centre for Applied Sciences and Education",https://www.4icu.org//i/logos-seals/372.png,Universidade Federal da Paraíba,https://www.4icu.org/reviews/372.htm,https://en.wikipedia.org/wiki/Federal_University_of_Para%C3%Adba,1022
Semesters,Not reported,"1,500-1,999",UFAL,Avenida Lourival de Melo Mota s/n - Cidade Universitária - Tabuleiro do Martins Maceio  57072-970 Alagoas Brazil,,Not reported,Not reported,Not reported,Public,Yes,Non-Profit,+55 (82) 3214 1700,Not reported,1961,Not reported,Not reported,,Yes,,Scientia ad Sapientiam,None,"Yes, based on entrance examinations",Yes,"20,000-24,999",Not reported,+55 (82) 3214 1002,"Brazil

",53,https://www.4icu.org//i/flags/Brazil.png,Federal University of Alagoas,Federal University of Alagoas,Federal University of Alagoas,,https://www.4icu.org//i/screenshots/373.jpg,"School of Nursing and Pharmacy | Department of Arts | Institute of Social Sciences | Institute of Computing | Institute of Physics | Institute of Atmospheric Sciences | Institute of Mathematics | Institute of Chemistry and Biotechnology | Center for Technology | Department of Letters | College of Architecture and Urbanism | School of Dentistry | Department of Economics, Management and Accounting | School of Nutrition | School of Social Service | School of Medicine | Center for Agricultural Sciences | Education Center | Department of Law of Alagoas | Institute of Biological Sciences and Health | Institute of Geography, Development and Environment | Institute of Social Sciences, Communication and Arts | Institute of Psychology",https://www.4icu.org//i/logos-seals/373.png,Universidade Federal de Alagoas,https://www.4icu.org/reviews/373.htm,https://en.wikipedia.org/wiki/Federal_University_of_Alagoas,1972
Semesters,Not reported,"2,000-2,499",UFMT,Avenida Fernando Correa da Costa 2367 - Cidade Universitária - Boa Esperança Cuiabá  78060-900 Mato Grosso Brazil,Avenida Fernando Correa da Costa s/n - Cidade Universitária Cuiabá 78060-900 (65) 3313 7114,Not available,Urban,Not reported,Public,Yes,Non-Profit,+55 (65) 3628 1219,Yes,1970,Not reported,Not reported,,Yes,,Virtus et sapientia Virtue and Sapiency,None,"Yes, based on entrance examinations",Yes,"20,000-24,999",Yes,+55 (65) 3313 7114,"Brazil

",58,https://www.4icu.org//i/flags/Brazil.png,Federal University of Mato Grosso,Federal University of Mato Grosso,Federal University of Mato Grosso,Rondonópolis; Médio Araguaia; Sinop; Várzea Grande,https://www.4icu.org//i/screenshots/378.jpg,"Institute of Languages | Department of Administration, Economics and Accounting Sciences | Institute of Human and Social Sciences | Department of Agronomy and Veterinary Medicine | Department of Architecture, Engineering and Technology | Department of Medical Sciences | Department of Law | Department of Physical Education | Department of Forest Engineering | Department of Nursing and Nutrition | Institute of Biosciences | Institute of Exact and Earth Sciences | Institute of Education | Institute of Public Health",https://www.4icu.org//i/logos-seals/378.png,Universidade Federal de Mato Grosso,https://www.4icu.org/reviews/378.htm,https://en.wikipedia.org/wiki/Federal_University_of_Mato_Grosso,2161
Semesters,Yes,"3,500-3,999",UFMG,Avenida Presidente Antônio Carlos 6627 - Pampulha Belo Horizonte  31270-901 Minas Gerais Brazil,"Avenida Antônio Carlos, 6627 - Pampulha Belo Horizonte 31270-901 (31) 3409 4162",0-10%,Urban,Not reported,Public,Yes,Non-Profit,+55 (31) 3409 4188,Yes,1927,Yes,Not reported,,Yes,,Incipit Vita Nova A new life begins,None,"Yes, based on entrance examinations",Yes,"over-45,000",Yes,+55 (31) 3409 5000,"Brazil

",5,https://www.4icu.org//i/flags/Brazil.png,Federal University of Minas Gerais,Federal University of Minas Gerais,Federal University of Minas Gerais,"Montes Claros, Tiradentes, Diamantina",https://www.4icu.org//i/screenshots/380.jpg,"Department of Economic Sciences | Department of Education | Department of Law | Department of Letters | Department of Medicine | Department of Odontology | Department of Pharmacy | Department of Philosophy and Human Sciences | Institute of Agrarian Sciences | Institute of Biological Sciences | Institute of Exact Sciences | Institute of Geosciences | School of Architecture | School of Engineering | School of Fine Arts | School of Information Science | School of Music | School of Nursing | School of Physical Education, Physiotherapy and Occupational Therapy | School of Veterinary Medicine | Vocational School",https://www.4icu.org//i/logos-seals/380.png,Universidade Federal de Minas Gerais,https://www.4icu.org/reviews/380.htm,https://en.wikipedia.org/wiki/Federal_University_of_Minas_Gerais,337
Semesters,Not reported,600-699,UFRR,"Avenida Capitão Ene Garcez 2413, Campos do Paricarana - Aeroporto Boa Vista  69304-000 Roraima Brazil","2413 Ene Garcez Avenue, Campos do Paricarana Boa Vista 69304-000",Not reported,Not reported,Not reported,Public,Yes,Non-Profit,+55 (95) 3621 3101,Yes,1989,Not reported,Not reported,,Yes,,Sapientia - Natura - Homo Wisdom - Nature - Humankind,None,"Yes, based on entrance examinations",Yes,"6,000-6,999",Yes,+55 (95) 3621 3100,"Brazil

",114,https://www.4icu.org//i/flags/Brazil.png,Federal University of Roraima,Federal University of Roraima,Federal University of Roraima,,https://www.4icu.org//i/screenshots/385.jpg,"Center of Agrarian Sciences | Center of Biological and Health Sciences | Center of Communication, Literature and Visual Arts | Center of Human Sciences | Health Sciences Center | Center of Science and Technology | Center of Administrative and Legal Sciences | Computer Center | Education Center | Institute of Geosciences | Amazonian Nucleus of Research in International Relations | Center of Comparative Studies of the Amazon and the Caribbean | Nucleus of Radio and TV | Nucleus of Studies of Foreign Languages | Socio-environmental Historical Nucleus | Nucleus of Electoral and Political Research of the Amazon | Semiotic Research Center of the Amazon",https://www.4icu.org//i/logos-seals/385.png,Universidade Federal de Roraima,https://www.4icu.org/reviews/385.htm,https://en.wikipedia.org/wiki/Federal_University_of_Roraima,4399
Semesters,Yes,"1,000-1,499",UFSCAR,Via Washington Luis - KM 235 - Monjolinho São Carlos  13565-905 Sao Paulo Brazil,Km 235 Washington Luís highway (SP-310) São Carlos 13565-905 (16) 3351 8108 (16) 3351 8152,0-10%,Suburban,Not reported,Public,Yes,Non-Profit,+55 (16) 3361 2081,Yes,1968,Yes,Not reported,,Yes,,Excelência acadêmica e compromisso social Academic excellence and social commitment,None,"Yes, based on entrance examinations",Yes,"10,000-14,999",Yes,+55 (16) 3351 8111,"Brazil

",17,https://www.4icu.org//i/flags/Brazil.png,Federal University of São Carlos,Federal University of São Carlos,Federal University of São Carlos,"Araras, Buri, Sorocaba",https://www.4icu.org//i/screenshots/389.jpg,Center for Exact and Technology Sciences | Center for Biological and Health Sciences | Center for Education and Humanities | Center for Agricultural Sciences | Center for Sciences and Technologies for Sustainability | Center for Human and Biological Sciences | Center for Management Science and Technology | Center for Nature Sciences,https://www.4icu.org//i/logos-seals/389.png,Universidade Federal de São Carlos,https://www.4icu.org/reviews/389.htm,https://en.wikipedia.org/wiki/Federal_University_of_S%C3%A3o_Carlos,871
Semesters,Not reported,"2,500-2,999",UFSC,Campus Universitário s/n - Trindade Florianópolis  88040-900 Santa Catarina Brazil,,Not available,Urban,Not reported,Public,Yes,Non-Profit,+55 (48) 3721 8422,Not reported,1960,Yes,Not reported,,Yes,,Ars et Scientia Arts and Science,None,"Yes, based on entrance examinations",Yes,"30,000-34,999",Yes,+55 (48) 3721 9000,"Brazil

",4,https://www.4icu.org//i/flags/Brazil.png,Federal University of Santa Catarina,Federal University of Santa Catarina,Federal University of Santa Catarina,"Araranguá, Blumenau, Curitibanos, Joinville",https://www.4icu.org//i/screenshots/386.jpg,"School of Agricultural Sciences | School of Biological Sciences | School of Communication and Arts | School of Health Sciences | School of Law | School of Sports | School of Education | School of Philosophy and Human Sciences | School of Physical and Mathematical Sciences | School of Socio-Economic Sciences | School of Technology | School of Sciences, Technologies and Health | Department of Engineering | Department of Exact Sciences and Education | Department of Agriculture, Biodiversity and Forests | Department of Natural and Social Sciences | Department of Mobility Engineering",https://www.4icu.org//i/logos-seals/386.png,Universidade Federal de Santa Catarina,https://www.4icu.org/reviews/386.htm,https://en.wikipedia.org/wiki/Federal_University_of_Santa_Catarina,316
Semesters,Not reported,"1,500-1,999",UFES,Avenida Fernando Ferrari 514 - Campus Universitário - Goiabeiras Vitória  29075-910 Espirito Santo Brazil,,20-30%,Urban,Not reported,Public,Yes,Non-Profit,+55 (27) 3335 2818,Not reported,1954,Not reported,Not reported,,Yes,,Docete Omnes Gentes Teach to all people,None,"Yes, based on entrance examinations",Yes,"20,000-24,999",Not reported,+55 (27) 3335 2200,"Brazil

",34,https://www.4icu.org//i/flags/Brazil.png,Federal University of Espírito Santo,Federal University of Espírito Santo,Federal University of Espírito Santo,"Alegre, São Mateus",https://www.4icu.org//i/screenshots/396.jpg,Arts Center | Center of Agrarian Sciences | Center for Legal and Economic Sciences | Technology Center | Health Sciences Center | Center for Human and Natural Sciences | Center of Exact Sciences | Education Center | Center for Physical Education and Sports | University Center of Norte do Espírito Santo,https://www.4icu.org//i/logos-seals/396.png,Universidade Federal do Espírito Santo,https://www.4icu.org/reviews/396.htm,https://en.wikipedia.org/wiki/Federal_University_of_Esp%C3%ADrito_Santo,1231
Semesters,Yes,"1,500-1,999",UFU,Avenida João Naves de Ávila 2121 - Santa Mônica Uberlândia  38408-100 Minas Gerais Brazil,"Avenida João Naves de Ávila, 2 121 - Campus Santa Mônica - Bloco 1A Uberlândia  (34) 3291 8937",0-10%,Urban,Yes,Public,Yes,Non-Profit,+55 (34) 3231 4880,Yes,1969,Yes,Not reported,,Yes,,"Compromisso com o ensino público, gratuito e de qualidade Committed to provide free and high quality public education",None,"Yes, based on entrance examinations",Yes,"20,000-24,999",Yes,+55 (34) 3239 4411,"Brazil

",28,https://www.4icu.org//i/flags/Brazil.png,Federal University of Uberlândia,Federal University of Uberlândia,Federal University of Uberlândia,"Ituiutaba, Monte Carmelo, Patos de Minas",https://www.4icu.org//i/screenshots/391.jpg,"Department of Administration, Accounting Sciences, Production Engineering and Social Work | Department of Architecture, Urbanism and Design | Department of Accounting Sciences | Computer Faculty | Law School | Education University | Physical education College | Civil engineering College | Department of Electrical Engineering | Department of Mechanical Engineering | Department of Chemical Engineering | Department of Management and Business | Department of Mathematics | Department of Medicine | Department of Veterinary Medicine | Department of Dentistry",https://www.4icu.org//i/logos-seals/391.png,Universidade Federal de Uberlândia,https://www.4icu.org/reviews/391.htm,https://en.wikipedia.org/wiki/Federal_University_of_Uberl%C3%A2ndia,1084
Semesters,Not reported,"1,000-1,499",UFV,Avenida Peter Henry Rolfs s/n - Campus Universitário Viçosa  36570-000 Minas Gerais Brazil,Avenida Peter Henry Rolfs s/n Viçosa 36570-000 509-221-5288/5268/2191,Not reported,Urban,Not reported,Public,Not reported,Non-Profit,+55 (31) 38992198,Yes,1922,Not reported,Not reported,,Yes,,"Ediscere, Scire, Agere, Vincere Study, Know, Act, Win",None,"Yes, based on entrance examinations",Yes,"10,000-14,999",Yes,+55 (31) 3899 2101,"Brazil

",50,https://www.4icu.org//i/flags/Brazil.png,Federal University of Viçosa,Federal University of Viçosa,Federal University of Viçosa,"Rio Paranaíba, Florestal",https://www.4icu.org//i/screenshots/392.jpg,"Center of Agrarian Sciences | Center for Biological and Health Sciences | Center of Exact and Technological Sciences | Center for Human Sciences, Arts and Letters",https://www.4icu.org//i/logos-seals/392.png,Universidade Federal de Viçosa,https://www.4icu.org/reviews/392.htm,https://en.wikipedia.org/wiki/Federal_University_of_Vi%C3%A7osa,1914
Not reported,Not reported,"2,000-2,499",UFC,"Avenida da Universidade 2853, Benfica Fortaleza  60020-181 Ceara Brazil",,Not reported,Not reported,Not reported,Public,Yes,Non-Profit,+55 (85) 3366 9513,Not reported,1954,Not reported,Not reported,,Yes,,Virtvs Unita Fortior Virtue is stronger when united,None,Not reported,Not reported,"25,000-29,999",Not reported,+55 (85) 3366 7301,"Brazil

",19,https://www.4icu.org//i/flags/Brazil.png,Federal University of Ceará,Federal University of Ceará,Federal University of Ceará,,https://www.4icu.org//i/screenshots/395.jpg,"Department of Law | Department of Economics, Administration, Actuarial and Accounting | Department of Education | Department of Pharmacy, Dentistry and Nursing | Department of Medicine | Science Center | Center of Agrarian Sciences | Humanities Center | Technology Center",https://www.4icu.org//i/logos-seals/395.png,Universidade Federal do Ceará,https://www.4icu.org/reviews/395.htm,https://en.wikipedia.org/wiki/Federal_University_of_Cear%C3%A1,912
Semesters,Not reported,"1,500-1,999",UFPI,Campus Universitário Ministro Petrônio Portela s/n - SG 07 - Ininga Teresina  64049-550 Piaui Brazil,,Not reported,Not reported,Not reported,Public,Yes,Non-Profit,+55 (86) 3215 5594,Not reported,1973,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Not reported,"30,000-34,999",Not reported,+55 (86) 3215 5525,"Brazil

",21,https://www.4icu.org//i/flags/Brazil.png,Federal University of Piauí,Federal University of Piauí,Federal University of Piauí,,https://www.4icu.org//i/screenshots/400.jpg,Center of Natural Sciences | Health Sciences Center | Center of Agrarian Sciences | Center for Educational Sciences | Technology Center | Center for Humanities and Letters,https://www.4icu.org//i/logos-seals/400.png,Universidade Federal do Piauí,https://www.4icu.org/reviews/400.htm,https://pt.wikipedia.org/wiki/Universidade_Federal_do_Piau%C3%AD,965
Semesters,Not reported,"2,500-2,999",UFRN,Avenida Senador Salgado Filho 3000 - Campus Universitário - Lagoa Nova Natal  59072-970 Rio Grande do Norte Brazil,"Campus Universitário, BR101-Lagoa Nova Natal 59072-970 (84) 3215 3224",10-20%,Urban,Not reported,Public,Yes,Non-Profit,+55 (84) 3215 3131,Not reported,1958,Not reported,Not reported,,Yes,,Accipitut det Receive to give,None,"Yes, based on entrance examinations",Yes,"25,000-29,999",Yes,+55 (84) 3215 3119,"Brazil

",13,https://www.4icu.org//i/flags/Brazil.png,Federal University of Rio Grande do Norte,Federal University of Rio Grande do Norte,Federal University of Rio Grande do Norte,"Macaíba, Currais Novos, Santa Cruz, Caicó",https://www.4icu.org//i/screenshots/401.jpg,"Biosciences Center | Humanities, Letters and Arts Center | Exact and Earth Sciences Center | Applied Social Sciences Center | Technology Center | Health Sciences Center | Seridó Higher Education Center | Education Center | School of Sciences and Technology | School of Music | Health Sciences College of Trairi | Jundiaí Agriculture School",https://www.4icu.org//i/logos-seals/401.png,Universidade Federal do Rio Grande do Norte,https://www.4icu.org/reviews/401.htm,https://en.wikipedia.org/wiki/Federal_University_of_Rio_Grande_do_Norte,684
Semesters,Not reported,"2,500-2,999",UFRGS,Avenida Paulo Gama 110- Farroupilha Porto Alegre  90040-060 Rio Grande do Sul Brazil,Avenida Paulo Gama 110 - Reitoria Porto Alegre 90040-060 (51) 3308 3142,Not reported,Urban,Not reported,Public,Yes,Non-Profit,+55 (51) 3308 3973,Not reported,1934 Origins date back to 1895,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,"25,000-29,999",Yes,+55 (51) 3308 3142,"Brazil

",2,https://www.4icu.org//i/flags/Brazil.png,Federal University of Rio Grande do Sul,Federal University of Rio Grande do Sul,Federal University of Rio Grande do Sul,Tramandaí,https://www.4icu.org//i/screenshots/402.jpg,School of Administration | School of Physical Education | School of Nursing | School of Engineering | Department of Agronomy | Department of Architecture | Department of Library Science and Communication | Department of Economics | Department of Law | Department of Pharmacy | Department of Medicine | Department of Dentistry | Department of Veterinary Medicine,https://www.4icu.org//i/logos-seals/402.png,Universidade Federal do Rio Grande do Sul,https://www.4icu.org/reviews/402.htm,https://en.wikipedia.org/wiki/Federal_University_of_Rio_Grande_do_Sul,262
Semesters,Yes,"3,500-3,999",MACKENZIE,Rua da Consolação 896 - Consolação São Paulo  01302-907 Sao Paulo Brazil,Rua da Consolação 896 São Paulo 01302-907 (11) 2114 8000,Not available,Urban,Yes,Private,Yes,Non-Profit,+55 (11) 2114 8146,Yes,1952 Origins date back to 1870,Not reported,Not reported,,Yes,,Tradição e Pioneirismo na Educação Tradition and Pioneering in Education,Christian-Presbyterian Presbyterian Church of Brazil - www.ipb.org.br,"Yes, based on entrance examinations",Yes,"40,000-44,999",Yes,+55 (11) 2114 8000,"Brazil

",44,https://www.4icu.org//i/flags/Brazil.png,Mackenzie Presbyterian University,Mackenzie Presbyterian University,Mackenzie Presbyterian University,"Campinas, Tamboré",https://www.4icu.org//i/screenshots/407.jpg,Department of Architecture and Urbanism | Department of Applied and Social Sciences | Department of Biological Sciences | Department of Sciences and Humanities | Department of Communication and Arts | Department of Computation and Information Technology | Department of Law | Department of Engineering | Department of Theology,https://www.4icu.org//i/logos-seals/407.png,Universidade Presbiteriana Mackenzie,https://www.4icu.org/reviews/407.htm,https://en.wikipedia.org/wiki/Mackenzie_Presbyterian_University,1620
Semesters,Not reported,"4,000-4,499",UFRJ,"Avenida Pedro Calmon, 550 Rio de Janeiro  21941-901 Rio de Janeiro Brazil","Avenida Pedro Calmon, 550 Rio de Janeiro 21941-901 (21) 2598 1609",0-10%,Urban,Not reported,Public,Yes,Non-Profit,+55 (21) 2598 1605,Not reported,1920,Yes,Not reported,,Yes,,A Universidade do Brasil The University of Brazil,None,"Yes, based on entrance examinations",Yes,"over-45,000",Yes,+55 (21) 2598 9603,"Brazil

",7,https://www.4icu.org//i/flags/Brazil.png,Federal University of Rio de Janeiro,Federal University of Rio de Janeiro,Federal University of Rio de Janeiro,,https://www.4icu.org//i/screenshots/403.jpg,Mathematical and Natural Sciences Center | Arts and Letters Center | Philosophy and Human Sciences Center | Legal and Economic Sciences Center | Health Sciences Center | Technology Center,https://www.4icu.org//i/logos-seals/403.png,Universidade Federal do Rio de Janeiro,https://www.4icu.org/reviews/403.htm,https://en.wikipedia.org/wiki/Federal_University_of_Rio_de_Janeiro,450
Semesters,Not reported,600-699,UNIJUI,"Rua do Comércio, 3000 - Campus Universitário Ijuí  98700-000 Rio Grande do Sul Brazil","Rua do Comércio, 3000 Ijuí 98700-000 (55) 3332 0329 (55) 3332 0200",Not reported,Urban,Not reported,Private,Yes,Non-Profit,+55 (55) 3332 9100,Not reported,1957,Yes,Not reported,,Yes,,Cor ad cor,None,"Yes, based on entrance examinations",Yes,"8,000-8,999",Yes,+55 (55) 3332 0200,"Brazil

",107,https://www.4icu.org//i/flags/Brazil.png,Regional University of Northwestern Rio Grande do Sul State,Regional University of Northwestern Rio Grande do Sul State,Regional University of Northwestern Rio Grande do Sul State,"Santa Rosa, Panambi, Três Passos",https://www.4icu.org//i/screenshots/415.jpg,"Department of Law an Social Sciences | Department Business, Accounting, Economics and Communication Sciences | Department of Hard Sciences and Engineering | Department of Human Sciences and Education | Department of Life Sciences | Department of Agronomy",https://www.4icu.org//i/logos-seals/415.png,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,https://www.4icu.org/reviews/415.htm,https://pt.wikipedia.org/wiki/Universidade_Regional_do_Noroeste_do_Estado_do_Rio_Grande_do_Sul,4137
Semesters,Not reported,400-499,UNIVAP,"Avenida Shishima Hifumi, 2911 - Urbanova São José dos Campos  12244-000 Sao Paulo Brazil","Avenida Shishima Hifumi, 2911 - Urbanova São José dos Campos 12244-000 (12) 3947 1000",30-40%,Suburban,Not reported,Private,Not reported,Non-Profit,+55 (12) 3949 1334,Not reported,1954,Not reported,Not reported,,Yes,,Scientia et Labor Science and Work,Christian-Catholic,"Yes, based on entrance examinations",Yes,"10,000-14,999",Yes,+55 (12) 3947 1056,"Brazil

",86,https://www.4icu.org//i/flags/Brazil.png,University of Paraíba Valley,University of Paraíba Valley,University of Paraíba Valley,Jacareí,https://www.4icu.org//i/screenshots/423.jpg,"Department of Education and Arts | Department of Engineering, Architecture and Urbanism | Department of Health Sciences | Department of Applied Social Sciences and Computing | Department of Law",https://www.4icu.org//i/logos-seals/423.png,Universidade do Vale do Paraíba,https://www.4icu.org/reviews/423.htm,https://en.wikipedia.org/wiki/Universidade_do_Vale_do_Para%C3%ADba,3287
Semesters,Not reported,"2,500-2,999",UNB,Campus Universitário Darcy Ribeiro s/n - Asa Norte Brasília  70910-900 Distrito Federal Brazil,,Not reported,Urban,Not reported,Public,Yes,Non-Profit,+55 (61) 3272 0003,Not reported,1962,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,"35,000-39,999",Yes,+55 (61) 3107 3300,"Brazil

",6,https://www.4icu.org//i/flags/Brazil.png,University of Brasília,University of Brasília,University of Brasília,"Planaltina, Gama, Ceilândia",https://www.4icu.org//i/screenshots/430.jpg,"Department of Agronomy and Veterinary Medicine | Department of Architecture and Urbanism | Department of Health Sciences | Department of Communication | Department of Communication | Law School | Department of Economics, Administration, Accounting and Information Science and Documentation | Department of Education | Department of Physical Education | Department of Medicine | Department of Technology | Faculty UnB Planaltina",https://www.4icu.org//i/logos-seals/430.png,Universidade de Brasília,https://www.4icu.org/reviews/430.htm,https://en.wikipedia.org/wiki/University_of_Bras%C3%ADlia,427
Semesters,Not reported,200-299,UNICRUZ,"Rodovia Municipal Jacob Della Méa, KM 5.6 - Parada Benito Cruz Alta  98005-972 Rio Grande do Sul Brazil",,60-70%,Suburban,Not reported,Private,Yes,Non-Profit,+55 (55) 3321 1545,Not reported,1988,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,"3,000-3,999",Yes,+55 (55) 3321 1500,"Brazil

",169,https://www.4icu.org//i/flags/Brazil.png,University of Cruz Alta,University of Cruz Alta,University of Cruz Alta,,https://www.4icu.org//i/screenshots/432.jpg,Center of Social and Human Sciences | Center of Agricultural and Health Sciences,https://www.4icu.org//i/logos-seals/432.png,Universidade de Cruz Alta,https://www.4icu.org/reviews/432.htm,https://en.wikipedia.org/wiki/University_of_Cruz_Alta,6839
Semesters,Yes,"1,000-1,499",UPF,UPF Campus Passo Fundo - Campus I s/n - Br 285 - Km 171 - São José Passo Fundo  99052-900 Rio Grande do Sul Brazil,"Campus I, BR 285, São José Passo Fundo 99052-900 (54) 3316 8117",90-100%,Urban,Yes,Private,Yes,Non-Profit,+55 (54) 3311 1307,Not reported,1968,Not reported,Not reported,,Yes,,Conhecimento é a nossa natureza. Knowledge is our nature.,None,"Yes, based on entrance examinations",Yes,"20,000-24,999",Yes,+55 (54) 3316 8117,"Brazil

",71,https://www.4icu.org//i/flags/Brazil.png,University of Passo Fundo,University of Passo Fundo,University of Passo Fundo,,https://www.4icu.org//i/screenshots/440.jpg,"Institute of Philosophy and Human Sciences | Institute of Biological Sciences | Institute of Education | Institute of Computing, Physics and Chemistry | Institute of Engineering and Architecture | Department of Medicine | Institute of Art and Social Communication | Institute of Physiotherapy and Physical Education | Department of Dentistry | Department of Law | Department of Agronomy and Veterinarian Medicine",https://www.4icu.org//i/logos-seals/440.png,Universidade de Passo Fundo,https://www.4icu.org/reviews/440.htm,https://en.wikipedia.org/wiki/University_of_Passo_Fundo,2532
Not reported,Not reported,700-799,UPE,Avenida Agamenon Magalhães s/n - Santo Amaro Recife  50100-010 Pernambuco Brazil,,Not reported,Not reported,Not reported,Public,Yes,Non-Profit,+55 (81) 3183 3771,Not reported,1990 Origins date back to 1966,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Not reported,"10,000-14,999",Not reported,+55 (81) 3183 3700,"Brazil

",112,https://www.4icu.org//i/flags/Brazil.png,University of Pernambuco,University of Pernambuco,University of Pernambuco,,https://www.4icu.org//i/screenshots/441.jpg,"Polytechnic School of Pernambuco | Department of Nursing Our Lady of Grace | School of Physical Education | Department of Medical Sciences of Pernambuco | Department of Administration Sciences of Pernambuco | Department of Dentistry of Pernambuco | Institute of Biological Sciences | Department of Sciences and Technology of Caruaru | Department of Science, Education and Technology of Garanhuns | Department of Teacher Training of Nazaré da Mata | Department of Teacher Training of Petrolina | Department of Science and Technology of Salgueiro",https://www.4icu.org//i/logos-seals/441.png,Universidade de Pernambuco,https://www.4icu.org/reviews/441.htm,https://en.wikipedia.org/wiki/University_of_Pernambuco,4301
